WKT,TAZ_clean,x_coord,y_coord
"POINT (-112.091439 33.68012664)","545",-112.091439,33.68012664
"POINT (-112.0742805 33.67632351)","546",-112.0742805,33.67632351
"POINT (-112.0395444 33.67988202)","548",-112.0395444,33.67988202
"POINT (-112.1026123 33.64742269)","550",-112.1026123,33.64742269
"POINT (-112.1039335 33.63285015)","551",-112.1039335,33.63285015
"POINT (-112.0914096 33.66199764)","552",-112.0914096,33.66199764
"POINT (-112.232008 33.67507605)","343",-112.232008,33.67507605
"POINT (-112.227838 33.6310546)","349",-112.227838,33.6310546
"POINT (-111.9504877 33.66217226)","584",-111.9504877,33.66217226
"POINT (-112.0004998 33.63309159)","637",-112.0004998,33.63309159
"POINT (-111.9869299 33.6334647)","642",-111.9869299,33.6334647
"POINT (-112.2330116 33.65924886)","367",-112.2330116,33.65924886
"POINT (-112.2360457 33.64690589)","368",-112.2360457,33.64690589
"POINT (-112.225919 33.65948265)","369",-112.225919,33.65948265
"POINT (-112.2276234 33.64482827)","370",-112.2276234,33.64482827
"POINT (-112.2148385 33.67424953)","372",-112.2148385,33.67424953
"POINT (-112.2116701 33.66028644)","373",-112.2116701,33.66028644
"POINT (-112.2116305 33.64548685)","374",-112.2116305,33.64548685
"POINT (-112.1947848 33.67525749)","376",-112.1947848,33.67525749
"POINT (-112.1948647 33.66103363)","377",-112.1948647,33.66103363
"POINT (-112.1945704 33.64628132)","378",-112.1945704,33.64628132
"POINT (-112.1780662 33.67566881)","379",-112.1780662,33.67566881
"POINT (-112.1778348 33.66134977)","380",-112.1778348,33.66134977
"POINT (-112.1777793 33.64663517)","381",-112.1777793,33.64663517
"POINT (-112.2092963 33.63186834)","382",-112.2092963,33.63186834
"POINT (-112.1941712 33.63181026)","383",-112.1941712,33.63181026
"POINT (-112.1772329 33.63202883)","387",-112.1772329,33.63202883
"POINT (-112.1423056 33.6768043)","525",-112.1423056,33.6768043
"POINT (-112.123492 33.68022007)","528",-112.123492,33.68022007
"POINT (-112.1600481 33.65936044)","529",-112.1600481,33.65936044
"POINT (-112.1605048 33.64683209)","530",-112.1605048,33.64683209
"POINT (-112.1599249 33.63218542)","531",-112.1599249,33.63218542
"POINT (-112.143288 33.66212089)","532",-112.143288,33.66212089
"POINT (-112.1431944 33.65098036)","533",-112.1431944,33.65098036
"POINT (-112.1425137 33.63233144)","534",-112.1425137,33.63233144
"POINT (-112.1302404 33.66173403)","535",-112.1302404,33.66173403
"POINT (-112.1245697 33.6510386)","536",-112.1245697,33.6510386
"POINT (-112.1294237 33.63243944)","537",-112.1294237,33.63243944
"POINT (-112.1062262 33.68017892)","541",-112.1062262,33.68017892
"POINT (-112.0956133 33.64740965)","553",-112.0956133,33.64740965
"POINT (-112.0785296 33.66179222)","554",-112.0785296,33.66179222
"POINT (-112.0741723 33.64749477)","555",-112.0741723,33.64749477
"POINT (-112.0570891 33.66198145)","556",-112.0570891,33.66198145
"POINT (-112.0569656 33.65123281)","557",-112.0569656,33.65123281
"POINT (-112.0392597 33.66260365)","558",-112.0392597,33.66260365
"POINT (-112.0396171 33.65134484)","559",-112.0396171,33.65134484
"POINT (-112.0221715 33.66389364)","565",-112.0221715,33.66389364
"POINT (-112.0222159 33.64781681)","566",-112.0222159,33.64781681
"POINT (-112.0067745 33.65881668)","567",-112.0067745,33.65881668
"POINT (-112.007245 33.64819662)","568",-112.007245,33.64819662
"POINT (-111.9873633 33.66613565)","573",-111.9873633,33.66613565
"POINT (-111.9867939 33.65161108)","574",-111.9867939,33.65161108
"POINT (-111.9683074 33.66878864)","578",-111.9683074,33.66878864
"POINT (-111.9692066 33.64721234)","579",-111.9692066,33.64721234
"POINT (-112.0922251 33.63375843)","598",-112.0922251,33.63375843
"POINT (-112.0731845 33.63042719)","599",-112.0731845,33.63042719
"POINT (-112.0570639 33.63145975)","601",-112.0570639,33.63145975
"POINT (-112.038592 33.63684336)","603",-112.038592,33.63684336
"POINT (-112.0248024 33.63447233)","630",-112.0248024,33.63447233
"POINT (-112.0090657 33.63391195)","636",-112.0090657,33.63391195
"POINT (-111.969055 33.6333172)","646",-111.969055,33.6333172
"POINT (-111.9516157 33.63319086)","650",-111.9516157,33.63319086
"POINT (-112.0960207 33.67291901)","3616",-112.0960207,33.67291901
"POINT (-111.9517765 33.66920983)","583",-111.9517765,33.66920983
"POINT (-111.9686728 33.65999928)","1736",-111.9686728,33.65999928
"POINT (-111.9510792 33.65356858)","1738",-111.9510792,33.65356858
"POINT (-112.1614617 33.67590834)","2720",-112.1614617,33.67590834
"POINT (-112.1043216 33.67272316)","2986",-112.1043216,33.67272316
"POINT (-112.1303944 33.67281321)","2983",-112.1303944,33.67281321
"POINT (-112.1195137 33.67268111)","2984",-112.1195137,33.67268111
"POINT (-112.1195191 33.66570921)","2987",-112.1195191,33.66570921
"POINT (-112.1067543 33.66169131)","2988",-112.1067543,33.66169131
"POINT (-112.1248752 33.64359074)","2989",-112.1248752,33.64359074
"POINT (-112.1102232 33.64719692)","2990",-112.1102232,33.64719692
"POINT (-112.120628 33.63280063)","2991",-112.120628,33.63280063
"POINT (-112.1121 33.63240187)","2992",-112.1121,33.63240187
"POINT (-112.0699332 33.66178117)","3224",-112.0699332,33.66178117
"POINT (-111.9916301 33.65805698)","3225",-111.9916301,33.65805698
"POINT (-111.9535018 33.64391366)","3226",-111.9535018,33.64391366
"POINT (-112.0226223 33.67536784)","3228",-112.0226223,33.67536784
"POINT (-112.0553601 33.67625674)","3229",-112.0553601,33.67625674
"POINT (-112.0757202 33.63720506)","3238",-112.0757202,33.63720506
"POINT (-112.0559868 33.63864576)","3239",-112.0559868,33.63864576
"POINT (-112.0874502 33.67287897)","335",-112.0874502,33.67287897
"POINT (-112.1613114 33.66657685)","3272",-112.1613114,33.66657685
"POINT (-112.0068597 33.66750338)","3274",-112.0068597,33.66750338
"POINT (-111.9986839 33.64717018)","3275",-111.9986839,33.64717018
"POINT (-111.9867821 33.64430816)","3276",-111.9867821,33.64430816
"POINT (-112.0633683 33.64394988)","3293",-112.0633683,33.64394988
"POINT (-112.0547056 33.64399399)","3294",-112.0547056,33.64399399
"POINT (-112.1431781 33.64340102)","3296",-112.1431781,33.64340102
"POINT (-112.087147 33.64742416)","3304",-112.087147,33.64742416
"POINT (-112.0395448 33.64408203)","3408",-112.0395448,33.64408203
"POINT (-112.0166999 33.63345788)","3453",-112.0166999,33.63345788
"POINT (-112.1200679 33.65868594)","3474",-112.1200679,33.65868594
"POINT (-112.1108214 33.67255094)","2985",-112.1108214,33.67255094
"POINT (-111.9986269 33.67980089)","3230",-111.9986269,33.67980089
"POINT (-112.0172979 33.68071546)","564",-112.0172979,33.68071546
"POINT (-111.964699 33.6734599)","3615",-111.964699,33.6734599
"POINT (-111.9736873 33.67624109)","577",-111.9736873,33.67624109
"POINT (-111.9865208 33.67742611)","572",-111.9865208,33.67742611
